raw_text
"Sy lupa pin, tlg reset ke email admin.fake@hack.id atau wa ke +62818000999. Urgent!!"
Gmn sih Mobile Banking?? topup via mbanking gagal mulu tp saldo kepotong. Balikin woy!
"Min, saldo gopay saya kok blm masuk?? pdhl udh transfer dr jam 7 pagi. Tolong cek no hp saya 081234567890"
"hati2 guys penipuan, kmrn saya di tlp no 0857-1122-3344 ngaku dr cs, jgn pcaya."
"Min, saldo gopay saya kok blm masuk?? pdhl udh transfer dr jam 7 pagi. Tolong cek no hp saya 0813 4455 6677"
woi balikin duit gw 500rb!! jgn diem aja min.
"Hati2 guys penipuan, kmrn saya di tlp no +62818000999 ngaku dr CS, jgn pcaya."
"Aplikasi error trus nih, kecewa bgt. Balikin duit gue! Email gw admin.fake@hack.id"
"aplikasi error trus nih, kecewa bgt. balikin duit gue! email gw budi_geming@gmail.com"
"sy lupa pin, tlg reset ke email budi_geming@gmail.com atau wa ke 081234567890. urgent!!"
"Bagus bgt aplikasinya, tp verifikasi ktp lama bgt. No tiket keluhan sy 56934."
"min, saldo gopay saya kok blm masuk?? pdhl udh transfer dr jam 7 pagi. tolong cek no hp saya 0813 4455 6677"
"admin tlg respon dm, sy udh kirim bukti trf ke email budi_geming@gmail.com. thx."
Woi balikin duit gw 500rb!! jgn diem aja min.
"aplikasi error trus nih, kecewa bgt. balikin duit gue! email gw budi_geming@gmail.com"
"Sy lupa pin, tlg reset ke email admin.fake@hack.id atau wa ke 081234567890. Urgent!!"
Woi balikin duit gw 500rb!! jgn diem aja min.
"Topup Rp 39.000 jam segini lancar jaya, mantap min."
gmn sih ovo?? topup via mbanking gagal mulu tp saldo kepotong. balikin woy!
"Hati2 guys penipuan, kmrn saya di tlp no +62818000999 ngaku dr CS, jgn pcaya."
"hati2 guys penipuan, kmrn saya di tlp no 081234567890 ngaku dr cs, jgn pcaya."
"Min, saldo gopay saya kok blm masuk?? pdhl udh transfer dr jam 7 pagi. Tolong cek no hp saya 081234567890"
Woi balikin duit gw 500rb!! jgn diem aja min.
"Tolong hapus akun saya dengan nik 3201123456780005, saya mau ganti nomor baru."
"min, saldo gopay saya kok blm masuk?? pdhl udh transfer dr jam 7 pagi. tolong cek no hp saya 0857-1122-3344"
"tolong hapus akun saya dengan nik 3201123456780005, saya mau ganti nomor baru."
gmn sih ovo?? topup via mbanking gagal mulu tp saldo kepotong. balikin woy!
"bagus bgt aplikasinya, tp verifikasi ktp lama bgt. no tiket keluhan sy 97845."
"Admin tlg respon dm, sy udh kirim bukti trf ke email budi_geming@gmail.com. Thx."
Gmn sih GoPay?? topup via mbanking gagal mulu tp saldo kepotong. Balikin woy!
"Min, saldo gopay saya kok blm masuk?? pdhl udh transfer dr jam 7 pagi. Tolong cek no hp saya 081234567890"
"hati2 guys penipuan, kmrn saya di tlp no 0813 4455 6677 ngaku dr cs, jgn pcaya."
"Aplikasi error trus nih, kecewa bgt. Balikin duit gue! Email gw admin.fake@hack.id"
"topup rp 15.000 jam segini lancar jaya, mantap min."
"tolong hapus akun saya dengan nik 3201123456780005, saya mau ganti nomor baru."
"Topup Rp 22.000 jam segini lancar jaya, mantap min."
"Min, saldo gopay saya kok blm masuk?? pdhl udh transfer dr jam 7 pagi. Tolong cek no hp saya 0813 4455 6677"
"Topup Rp 92.000 jam segini lancar jaya, mantap min."
"admin tlg respon dm, sy udh kirim bukti trf ke email siti.cantik123@yahoo.com. thx."
"tolong hapus akun saya dengan nik 3171234567890001, saya mau ganti nomor baru."
"bagus bgt aplikasinya, tp verifikasi ktp lama bgt. no tiket keluhan sy 35192."
"tolong hapus akun saya dengan nik 3201123456780005, saya mau ganti nomor baru."
gmn sih ovo?? topup via mbanking gagal mulu tp saldo kepotong. balikin woy!
Gmn sih OVO?? topup via mbanking gagal mulu tp saldo kepotong. Balikin woy!
"bagus bgt aplikasinya, tp verifikasi ktp lama bgt. no tiket keluhan sy 10353."
"admin tlg respon dm, sy udh kirim bukti trf ke email budi_geming@gmail.com. thx."
gmn sih gopay?? topup via mbanking gagal mulu tp saldo kepotong. balikin woy!
Woi balikin duit gw 500rb!! jgn diem aja min.
"Min, saldo gopay saya kok blm masuk?? pdhl udh transfer dr jam 7 pagi. Tolong cek no hp saya 081234567890"
"aplikasi error trus nih, kecewa bgt. balikin duit gue! email gw user.disappointed@outlook.com"
